numdevo|cliente|nomcli|emision|estatus|numfac|tot_devo|codven|almacen
DV000431|00000666|AUTOREPUESTOS MIA CAR'S C.A (AUTOREPUESTOS MIA CAR'S C.A)|20240821|OK|NC000818|3.8000|02|01
DV000432|00000414|AUTOREPUESTOS CONTINENTAL,C.A.|20240821|OK||25.0000|02|01
DV000433|00000088|REPUESTOS ASIATICOS ACARIGUA, C.A.|20240821|OK||98.4500|01|01
DV000434|00000685|AUTO REPUESTOS FRANK CARS C.A.|20240821|OK||9.2600|33|01
DV000435|00000609|REPUESTOS EL PENON PARAISO C.A.|20240829|OK|NC000823|88.9200|19|01
DV000436|00000610|EL IMPERIO DEL TAXISTA 2020, C.A.|20240904|OK||60.8700|30|01
DV000437|00000781|AUTOPARTES OVIEDO 16, C.A.|20240905|OK||4.0000|12|01
DV000438|00000733|SUPER REPUESTOS LA ESTRELLA, C.A.|20240905|OK||8.8000|06|01
DV000439|00000361|AUTOPARTES LA ARBOLEDA, C.A|20240905|OK|NC000828|60.8700|19|01
DV000440|00000666|AUTOREPUESTOS MIA CAR'S C.A (AUTOREPUESTOS MIA CAR'S C.A)|20240905|OK|NC000827|63.4900|02|01
DV000441|00000219|INVERSIONES SUPER JUNIN 1212, C.A|20240905|OK||84.7500|06|01
DV000442|00000088|REPUESTOS ASIATICOS ACARIGUA, C.A.|20240910|OK||8.1900|01|01
DV000443|00000421|REPUESTOS PANA MIO, C.A. (REPUESTOS PANA MIO, C.A.)|20240916|OK||25.0000|21|01
DV000444|00000060|REPUESTOS COVECA CA|20240916|OK|NC000833|250.4600|01|01
DV000445|00000758|REPUESTOS Y SERVICIOS JMCARS C.A.|20240918|OK||24.6600|12|01
DV000446|00000758|REPUESTOS Y SERVICIOS JMCARS C.A.|20240918|OK||24.6600|12|01
DV000447|00000631|DORAUTO IMPORTS, C.A|20240919|OK||42.3200|02|01
DV000448|00000436|AUTO REPUESTOS PATON MOTORS, C.A. (AUTO REPUESTOS PATON MOTORS, C|20240920|OK|NC000837|75.7700|34|01
DV000449|00000060|REPUESTOS COVECA CA|20240923|OK||69.5300|01|01
DV000450|00000139|IMPORTADORA RAYNE, C.A|20240924|OK||121.7200|02|01
DV000451|00000139|IMPORTADORA RAYNE, C.A|20240924|OK||12.2400|02|01
DV000452|00000139|IMPORTADORA RAYNE, C.A|20240924|OK||78.1300|02|01
DV000453|00000139|IMPORTADORA RAYNE, C.A|20240924|OK||54.0800|02|01
DV000454|00000088|REPUESTOS ASIATICOS ACARIGUA, C.A.|20240924|OK||76.9800|01|01
DV000455|00000060|REPUESTOS COVECA CA|20240925|OK||28.8500|01|01
DV000456|00000403|G.C AUTOPARTES C.A|20240925|OK||15.1900|19|01
DV000457|00000051|REYREP, C.A.|20240925|OK|NC000843|25.0700|19|01
DV000458|00000393|CARS PARTS SUR, C.A|20240925|OK|NC000844|13.9100|04|01
DV000459|00000393|CARS PARTS SUR, C.A|20240925|OK|NC000844|7.9000|04|01
DV000460|00000492|MONACO AUTOPARTS #1, C.A. (MONACO AUTOPARTS #1, C.A.)|20240925|OK||17.4700|04|01
DV000461|00000703|SERVIREPUESTOS CAGUA, C.A.|20240925|OK|NC000846|78.1300|02|01
DV000462|00000360|INVERSIONES AUTOKAT 2016, C.A|20240925|OK||80.0000|01|01
DV000463|00000360|INVERSIONES AUTOKAT 2016, C.A|20240925|OK||89.6000|01|01
DV000464|00000197|TRANSPORTE EL FARO, C.A|20240925|OK||58.3100|12|01
DV000465|00000776|MUNKO 1128 C.A (MUNKO 1128 C.A)|20240925|OK||45.0000|02|01
