numdevo|item|descrip|cantidad|factura|importe|precio
DV000071|KITGTZ020|KIT PISTON Y ANILLO GETZ 1.6 0.20|1.0000||0.0000|59.0500
DV000072|41610-2E005-K|BOMBA CLUTCH SUP. TUCSON|1.0000||0.0000|21.7300
DV000058|KITGTZ020|KIT PISTON Y ANILLO GETZ 1.6 0.20|1.0000||0.0000|59.0500
DV000074|21020-02591-025|JGO. CONCHA BANCADA PICANTO 0.10 (0|1.0000||0.0000|10.0800
DV000075|24410-23050-PMC|TENSOR TIEMPO TUCSON GANCHO PMC|1.0000||0.0000|25.0000
DV000076|23110-23780-SE|CIGUENAL TUCSON SEONG|1.0000||0.0000|122.4700
DV000077|KITRIO020|KIT PISTON Y ANILLO KIA RIO 1.5 0.2|1.0000||0.0000|55.0000
DV000078|24255-23800-SE|VALVULA OCV TUCSON|2.0000||0.0000|24.0000
DV000079|0K77P-15200B-SE|RADIADOR KIA PREGIO 3.0 SEONG|1.0000||0.0000|116.4300
DV000080|21020-02591-025|JGO. CONCHA BANCADA PICANTO 0.10 (0|1.0000||0.0000|10.5400
DV000081|0K75B-18140-SEO|JGO. BUJIA KIA PREGIO 3.0 SEONG|1.0000||0.0000|12.2400
DV000082|21020-02591-025|JGO. CONCHA BANCADA PICANTO 0.10 (0|1.0000||0.0000|10.0800
DV000083|23060-22960-025|JGO. CONCHA BIELA ACC/GETZ 0.10 (0.|1.0000||0.0000|6.4000
DV000084|0K30F-14100D|BOMBA ACEITE KIA RIO 1.5 SEONG|1.0000||0.0000|44.4000
DV000085|21020-22960-STD|JGO. CONCHA BANCADA ACC/GETZ STD|5.0000||0.0000|9.9000
DV000086|41700-4A101|BOMBIN CLUTCH INF HYUNDAI H1 2009 K|1.0000||0.0000|26.1900
DV000087|21020-02591-025|JGO. CONCHA BANCADA PICANTO 0.10 (0|2.0000||0.0000|10.5400
DV000088|25100-2X200-SEO|BOMBA AGUA KIA RIO STYLUS SEONG|1.0000||0.0000|31.0800
DV000089|25100-2X200-SEO|BOMBA AGUA KIA RIO STYLUS SEONG|3.0000||0.0000|29.5300
DV000090|0K79A-32110A-SE|CAJETIN DIRECCION HIDRAULICA KIA PR|1.0000||0.0000|213.2000
DV000091|0K55A-28-156|BUJE BARRA ESTABILIZADORA TRAS. PRE|1.0000||0.0000|3.7200
DV000093|0K72B-46500|GUAYA SELECTORA KIA PREGIO LARGA|5.0000||0.0000|21.7100
DV000094|0K75A46600D|GUAYA SELECTORA PREGIO CORTA|1.0000||0.0000|20.9200
DV000092|0K72B-46500|GUAYA SELECTORA KIA PREGIO LARGA|6.0000||0.0000|20.5700
DV000095|23060-02591-020|JGO. CONCHA BIELA KIA PICANTO 0.20|1.0000||0.0000|6.3600
DV000096|0K72A-32600-SE|BOMBA DIRECCION KIA PREGIO 3.0 SEON|1.0000||0.0000|98.3400
DV000097|25100-26902-SEO|BOMBA AGUA GETZ 1.6 SEONG|1.0000||0.0000|21.0000
DV000098|39230-26600-K|VALVULA TEMPERATURA GETZ (CABLE)|1.0000||0.0000|13.9900
DV000099|0K79A-32110A-SE|CAJETIN DIRECCION HIDRAULICA KIA PR|2.0000||0.0000|213.2000
DV000100|0K77P-15200B-SE|RADIADOR KIA PREGIO 3.0 SEONG|4.0000||0.0000|116.4300
DV000101|25100-22032-SEO|BOMBA AGUA TUCSON SEONG|1.0000||0.0000|23.5800
DV000102|23040-23300-050|JGO. ANILLO TUCSON 0.20 (0,50) FINO|1.0000||0.0000|15.3900
DV000103|25380-1C360-A|ELECTROVENTILADOR GETZ 1.6|1.0000||0.0000|75.0100
DV000104|23111-02812|CIGUENAL PICANTO 8 PESAS CUADRANTE|1.0000||0.0000|118.7300
DV000105|21020-02592-050|JGO. CONCHA BANCADA PICANTO 0.20 (0|1.0000||0.0000|0.0000
DV000106|0K77P-15200B-SE|RADIADOR KIA PREGIO 3.0 SEONG|2.0000||0.0000|116.4300
DV000107|24410-37100|TENSOR HIDRAULICO SPORTAGE 2.7 KORE|2.0000||0.0000|58.6900
DV000108|23040-23972|JGO. ANILLO TUCSON 0.20 (0,50) FINO|2.0000||0.0000|39.3300
