codart|nomart|grupo|marca|precio_a|precio_b|precio_d|codfam|stk01|stk06|alterno
24510-02500|FLAUTA ADMISION KIA PICANTO|PICAN|00140|27.2300|23.6800|6.4700|KOREA|||
21812-4H200|BASE MOTOR RH HYUNDAI H1 09|H1|00163|65.1600|56.6600|14.3800|KOREA|||
23510-26030-SEO|BRAZO BIELA HYUNDAI ACCENT / GETZ / ELANTRA SEONG|ELGTZ|00062|18.9800|16.5000|5.0000|CHINA|||
23510-3E101-SEO|BRAZO BIELA HYUNDAI SANTA FE 2.7 SEONG|SPTFE|00062|40.2500|35.0000|10.5000|CHINA|||
0K30C-11210-SEO|BRAZO BIELA KIA RIO 1.5 SEONG|RIO|00062|32.8700|28.5800|6.8000|CHINA|||
23510-02501-SEO|BRAZO BIELA KIA PICANTO SEONG|PICAN|00062|27.0300|23.5000|6.8000|CHINA|||
22100-26100-SEO|CAMARA MOTOR HYUNDAI GETZ 1.6 SEONG|ELGTZ|00062|451.6100|392.7000|160.0000|CHINA|||
22100-02766-SEO|CAMARA MOTOR KIA PICANTO SEONG|PICAN|00062|381.8800|332.0700|103.0000|CHINA|||
0K30E-10100-SEO|CAMARA MOTOR KIA RIO 1.5 SEONG|RIO|00062|504.7400|438.9000|173.0000|CHINA|||
23111-26100-SEO|CIGUENAL HYUNDAI GETZ 1.6 SEONG|ELGTZ|00062|151.0800|131.3700|36.5000|CHINA|||
23111-02812-SEO|CIGUENAL KIA PICANTO SEONG|PICAN|00062|155.3500|135.0900|34.5000|CHINA|||
23124-2X010-SEO|DAMPER KIA RIO STYLUS SEONG|RIO|00062|47.7900|41.5600|11.5000|CHINA|||
23124-02201-SEO|POLEA DAMPER KIA PICANTO SEONG|PICAN|00062|29.5400|25.6900|7.6000|CHINA|||
23040-38200-SEO|JGO. ANILLO HYUNDAI H1 07 STD SEONG|H1|00062|29.1600|25.3600|5.4000|CHINA|||
54500-FD000-SEO|MESETA KIA RIO STYLUS LH KP|RIO|00118|44.0700|38.3200|7.5000|CHINA|||
54501-FD000-SEO|MESETA KIA RIO STYLUS RH KP|RIO|00118|44.0700|38.3200|7.5000|CHINA|||
25460-26000-SEO|TUBO AGUA HYUNDAI ELANTRA/GETZ SEONG|ELGTZ|00062|11.6400|10.1200|2.3000|CHINA|||
25460-23000-SEO|TUBO AGUA HYUNDAI TUCSON SEONG|TUCSO|00062|11.6400|10.1200|2.3000|CHINA|||
KITPISSONSEONG|KIT PISTON Y ANILLO HYUNDAI SONATA 3.3 STD SEONG|OTROS|00062|202.3900|175.9900|43.8000|CHINA|||
23040-3C100-STD|JGO. ANILLO SONATA 3.3 STD SEONG|OTROS|00062|43.0000|37.3900|8.8000|CHINA|||
23040-3C100-050|JGO. ANILLO HYUNDAI SONATA 3.3 0.20 (0.50) SEONG|OTROS|00062|43.0000|37.3900|8.8000|CHINA|||
23040-25200-STD|JGO. ANILLO STD H1 09 SEONG|H1|00062|32.2600|28.0500|5.4000|CHINA|||
23410-2G200-STD|JGO. PISTON STD H1 09 SEONG|H1|00062|63.5800|55.2900|14.2000|CHINA|||
24410-26800-SEO|TENSOR CADENA ACCENT 1.6/RIO CVVT 1.6|ACCEN|00062|27.3600|23.7900|5.9000|CHINA|||
24810-37120-SEO|POLEA TIEMPO FIJA  KIA SPORTAGE 2.7 SEONG|SPTFE|00062|16.7000|14.5200|3.6000|CHINA|||
24450-37100-SEO|POLEA TENSORA TIEMPO KIA SPORTAGE 2.7 SEONG|SPTFE|00062|15.3200|13.3200|3.3000|CHINA|||
