CODMOVCLI|NUMDOC|TIPO|CODVEN|EMISION|VENCE|IMPORTE|REFER|CONCEPTO
00000014|D0010420|NC||15/1/2024|15/1/2024|-79,66|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000014|D0010420|CA|21|15/1/2024|14/2/2024|-318,62||FACTURA D0010420
00000460|D0009519|AB|01|15/1/2024|20/10/2023|-54,03||CANC.MULT.REC.COB No.
00000460|D0009666|AB|01|15/1/2024|20/10/2023|-153,67||CANC.MULT.REC.COB No.
00000460|D0009689|AB|01|15/1/2024|15/11/2023|-154,53||CANC.MULT.REC.COB No.
00000460|D0009822|AB|01|15/1/2024|8/12/2023|-637,77||CANC.MULT.REC.COB No.
00000413|D0010405|NC||15/1/2024|15/1/2024|-104,14|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000413|D0010405|CA|02|15/1/2024|10/2/2024|-210,00||FACTURA D0010405
00000061|D0010423|FC|30|15/1/2024|14/2/2024|362,51||FACTURA D0010423
00000061|D0010423|NC||15/1/2024|15/1/2024|-72,50|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000061|D0010423|CA|30|15/1/2024|14/2/2024|-290,01||FACTURA D0010423
00000043|D0009679|AB|01|15/1/2024|27/11/2023|-53,72||CANC.MULT.REC.COB No.
00000043|D0009707|AB|01|15/1/2024|30/11/2023|-946,28||CANC.MULT.REC.COB No.
00000460|D0009822|AB|01|15/1/2024|8/12/2023|-305,71||CANC.MULT.REC.COB No.
00000460|D0009823|AB|01|15/1/2024|8/12/2023|-1089,01||CANC.MULT.REC.COB No.
00000460|D0009824|AB|01|15/1/2024|8/12/2023|-105,28||CANC.MULT.REC.COB No.
00000535|D0010424|FC|33|15/1/2024|14/2/2024|446,21||FACTURA D0010424
00000354|D0010412|NC||15/1/2024|15/1/2024|-182,96|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000354|D0010412|CA|01|15/1/2024|11/2/2024|-731,85||FACTURA D0010412
00000354|D0010413|NC||15/1/2024|15/1/2024|-149,57|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000354|D0010413|CA|01|15/1/2024|11/2/2024|-598,30||FACTURA D0010413
00000082|D0010425|FC|02|16/1/2024|15/2/2024|560,97||FACTURA D0010425
00000703|D0010322|FC|02|8/1/2024|7/2/2024|567,41||FACTURA D0010322
00000060|D0010428|FC|01|16/1/2024|15/2/2024|215,06||FACTURA D0010428
00000393|D0010429|FC|04|16/1/2024|15/2/2024|78,13||FACTURA D0010429
00000309|00003002|FC|25|1/12/2023|1/12/2023|2687,96||IVA CORRESPONDIENTE A LA FACTU
00000060|D0010430|FC|01|16/1/2024|15/2/2024|60,30||FACTURA D0010430
00000072|D0010431|FC|02|16/1/2024|15/2/2024|380,87||FACTURA D0010431
00000549|D0010298|NC||16/1/2024|16/1/2024|-210,54|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000549|D0010299|NC||16/1/2024|16/1/2024|-144,83|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000549|D0010300|NC||16/1/2024|16/1/2024|-72,32|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000549|D0010302|NC||16/1/2024|16/1/2024|-161,96|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000549|D0010303|NC||16/1/2024|16/1/2024|-68,44|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000549|D0010307|NC||16/1/2024|16/1/2024|-208,23|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000549|D0010311|NC||16/1/2024|16/1/2024|-118,60|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
00000549|D0010312|NC||16/1/2024|16/1/2024|-43,19|DCTO.P.PAG|DCTO P/PAGO AL 20.00%
